12-08 13:22:48.811 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.0281516
12-08 13:22:48.811 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.7034031
12-08 13:22:48.811 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -1.0738966
12-08 13:22:48.827 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.2613593
12-08 13:22:48.827 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.8041907
12-08 13:22:48.827 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.0501574
12-08 13:22:48.827 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -1.0088239
12-08 13:22:48.848 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.17833947
12-08 13:22:48.848 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.616777
12-08 13:22:48.848 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.8065878
12-08 13:22:48.848 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.9535185
12-08 13:22:48.869 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.25209555
12-08 13:22:48.869 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.4933725
12-08 13:22:48.869 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.6780975
12-08 13:22:48.869 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.91277117
12-08 13:22:48.889 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.34827995
12-08 13:22:48.889 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.4955315
12-08 13:22:48.889 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.73974043
12-08 13:22:48.889 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.90975374
12-08 13:22:48.914 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.3043247
12-08 13:22:48.914 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.4664523
