12-08 13:23:28.072 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.10082089
12-08 13:23:28.093 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.023814082
12-08 13:23:28.093 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.095838
12-08 13:23:28.093 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.36742443
12-08 13:23:28.093 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.31697413
12-08 13:23:28.112 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.0833147
12-08 13:23:28.112 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.76287705
12-08 13:23:28.112 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.3040633
12-08 13:23:28.112 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.38330013
12-08 13:23:28.132 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.2224162
12-08 13:23:28.132 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.1444445
12-08 13:23:28.132 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.3949316
12-08 13:23:28.132 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.08247149
12-08 13:23:28.154 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.15672223
12-08 13:23:28.154 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.7127049
12-08 13:23:28.154 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.6735692
12-08 13:23:28.154 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.71472824
12-08 13:23:28.172 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.022353947
12-08 13:23:28.173 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.68357
12-08 13:23:28.173 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.5507274
12-08 13:23:28.173 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 1.1633065
12-08 13:23:28.195 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.09476866
12-08 13:23:28.195 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.7939038
12-08 13:23:28.195 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.3325561
12-08 13:23:28.195 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.5046146
12-08 13:23:28.212 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.06284421
12-08 13:23:28.212 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.5963916
12-08 13:23:28.212 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.3107078
12-08 13:23:28.213 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -1.1822586
12-08 13:23:28.233 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.9911258
12-08 13:23:28.233 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 3.0777352
12-08 13:23:28.233 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.68019676
