12-08 13:20:28.382 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.08254056
12-08 13:20:28.382 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.42742622
12-08 13:20:28.382 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.14223316
12-08 13:20:28.402 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.7049669
12-08 13:20:28.402 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.6786209
12-08 13:20:28.402 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.3442417
12-08 13:20:28.402 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.014781907
12-08 13:20:28.422 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.39933962
12-08 13:20:28.422 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.08188105
12-08 13:20:28.422 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.5458758
12-08 13:20:28.422 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.24562259
12-08 13:20:28.442 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.21004608
12-08 13:20:28.442 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.0132299885
12-08 13:20:28.442 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 1.1881344
12-08 13:20:28.442 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.67332226
12-08 13:20:28.466 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.08841789
12-08 13:20:28.466 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.5428444
12-08 13:20:28.466 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 1.4178355
12-08 13:20:28.466 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.7646614
12-08 13:20:28.483 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.16336963
12-08 13:20:28.483 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.545347
12-08 13:20:28.483 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 1.5568688
12-08 13:20:28.483 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.42608976
12-08 13:20:28.503 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.302177
12-08 13:20:28.503 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.61881685
12-08 13:20:28.503 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.97897714
12-08 13:20:28.503 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.5176699
12-08 13:20:28.523 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.10615426
