12-08 13:21:30.348 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.00751468
12-08 13:21:30.348 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.26029617
12-08 13:21:30.348 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.2272752
12-08 13:21:30.348 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.26115876
12-08 13:21:30.368 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.067092665
12-08 13:21:30.368 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.027931005
12-08 13:21:30.368 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.07926378
12-08 13:21:30.368 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.28647262
12-08 13:21:30.389 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.0855113
12-08 13:21:30.389 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.0636673
12-08 13:21:30.389 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.15492004
12-08 13:21:30.389 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.40131232
12-08 13:21:30.408 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.15275992
12-08 13:21:30.408 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.18443346
12-08 13:21:30.408 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.1352929
12-08 13:21:30.409 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.30658895
12-08 13:21:30.429 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.010382973
12-08 13:21:30.429 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.3869815
12-08 13:21:30.429 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.48724595
12-08 13:21:30.429 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.15647566
12-08 13:21:30.449 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.115187675
12-08 13:21:30.449 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.8580768
12-08 13:21:30.449 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.077544
12-08 13:21:30.450 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.09950347
12-08 13:21:30.469 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.12704131
12-08 13:21:30.469 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.118245
12-08 13:21:30.469 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.5839767
12-08 13:21:30.469 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.019911058
12-08 13:21:30.488 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.67136633
12-08 13:21:30.489 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.031012654
12-08 13:21:30.489 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.8753786
12-08 13:21:30.489 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.3287806
12-08 13:21:30.510 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.49343377
12-08 13:21:30.510 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.05650357
12-08 13:21:30.510 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.45959643
12-08 13:21:30.510 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.47399738
12-08 13:21:30.530 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.056387886
12-08 13:21:30.530 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.4046068
12-08 13:21:30.530 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.33773997
12-08 13:21:30.530 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.34347156
12-08 13:21:30.549 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.12592565
12-08 13:21:30.550 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.20576799
12-08 13:21:30.550 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.7188355
12-08 13:21:30.550 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.54409444
12-08 13:21:30.571 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.006021211
12-08 13:21:30.571 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.25841096
12-08 13:21:30.571 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.75575876
12-08 13:21:30.571 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.5822992
12-08 13:21:30.589 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.049229987
12-08 13:21:30.589 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.5926601
12-08 13:21:30.589 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.0421863
12-08 13:21:30.589 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.5450358
